,stock,concept,cause,nearest,reason,url,dt
0,珠海中富,公告,股权转让+包装印刷+物流,,,8vmxgtgabm,2023-03-24
1,返利科技,人工智能,电商服务+ChatGPT+数字传媒,,,ffmky9j1hy,2023-03-24
2,鸿博股份,人工智能,聊天机器人上线+英伟达合作+北京AI智算中心,,,ahmljre9mn,2023-03-24
3,惠威科技,人工智能,AI智能音箱+消费电子+汽车电子,,,8vmxgtj24a,2023-03-24
4,甘咨询,人工智能,参股国资云+数据中心建设+水利+工程咨询,,,ffmbwbxtcy,2023-03-24
5,三六零,人工智能,ChatGPT+搜索引擎+网络安全+区块链,,,ffmbwbwj6y,2023-03-24
6,剑桥科技,人工智能,光模块+CPO+5G,,,ahmulp0fa6,2023-03-24
7,中文在线,人工智能,AIGC+Web3.0+数字藏品平台+在线教育,,,29n91bh2uq,2023-03-24
8,昆仑万维,人工智能,OpenAI合作+ChatGPT开源代码+游戏,,,ahmulp1436,2023-03-24
9,云创数据,人工智能,云创AI智能机器人+算力+智慧城市,,,5kmv74v5q0,2023-03-24
10,麦克奥迪,人工智能,AI病理诊断+资产注入预期+高端显微镜+医疗器械,,,8vmpevwt5l,2023-03-24
11,青云科技,人工智能,AI算力+平台级云服务厂商+网络安全,,,3xmy39c28q,2023-03-24
12,星环科技,人工智能,MLOps+大数据基础软件,,,ffmky9jh9p,2023-03-24
13,寒武纪,人工智能,文心一言AI芯片+Chiplet+车载智能芯片,,,5kn392gyv5,2023-03-24
14,深科技,人工智能,存储半导体+高端制造,,,dtmesgebv4,2023-03-24
15,拓维信息,华为合作,算力+华为昇腾+AI服务器+在线教育,,,5kn392jsdz,2023-03-24
16,常山北明,华为合作,华为鲲鹏（鸿蒙+腾讯合作+数据中心+国资云,,,77n0cy25nl,2023-03-24
17,智度股份,华为合作,华为合作+浏览器插件+AI算法+区块链,,,77n0cy28md,2023-03-24
18,同方股份,华为合作,昇腾AI服务器+数据中心+数字信息,,,77n0cy1sk2,2023-03-24
19,四川长虹,华为合作,华为鲲鹏服务器+文心一言+超清视频,,,29n91bj4n7,2023-03-24
20,软通动力,华为合作,华为鸿蒙+接入GPT4+智能驾驶+软件与数字技术服务,,,ahmulp2x20,2023-03-24
21,智洋创新,华为合作,智洋AI开放平台+昇腾AI+电力智能运维管理,,,dtmnue2pse,2023-03-24
22,特发信息,华为合作,ChatGPT+华为合作+数据中心,,,3xn6571wwj,2023-03-24
23,兆威机电,苹果MR,VR瞳距调节+充电桩+行星减速器+苹果合作,,,ffmbwbzebn,2023-03-24
24,国光电器,苹果MR,VR\u002FAR声学模组+VR整机+汽车音箱+锂电池,,,ahmljrf5b3,2023-03-24
25,欧陆通,苹果MR,AI服务器电源+便携式储能设备+苹果合作,,,29n0zdwuy7,2023-03-24
26,长盈精密,苹果MR,AR\u002FVR+芯片+汽车零部件,,,5kmv74xh64,2023-03-24
27,智立方,苹果MR,VR\u002FAR设备产品+机器视觉+苹果合作,,,dtmesgg0sn,2023-03-24
