名称,代码,最新价,成交额,60日涨跌幅,dt
传音控股,4,130.98,32.1,65.32,2023040617
中油资本,4,7.86,36.9,38.87,2023040617
北方华创,4,307.43,64.6,35.85,2023040617
北京君正,4,110.24,50.4,56.3,2023040617
澜起科技,4,75.98,32.7,20.15,2023040617
全志科技,4,37.55,42.8,80.27,2023040617
南大光电,4,40.29,24.3,35.66,2023040617
电科网安,4,43.16,38.4,33.75,2023040617
兆易创新,4,135.18,65.7,34.63,2023040617
四川长虹,4,5.04,35.0,89.47,2023040617
四维图新,4,15.24,28.0,28.61,2023040617
士兰微,4,41.75,49.8,26.48,2023040617
中际旭创,4,67.71,48.1,137.1,2023040617
中芯国际,4,59.46,112.2,41.84,2023040617
中航电测,4,53.11,25.9,401.7,2023040617
沪电股份,4,25.75,41.6,109.35,2023040617
华工科技,4,32.0,58.1,87.79,2023040617
中微公司,4,174.0,42.4,76.36,2023040617
闻泰科技,4,59.48,33.5,10.11,2023040617
新易盛,4,66.96,57.4,169.89,2023040617
首都在线,4,19.63,22.9,86.77,2023040617
三安光电,4,22.86,48.3,31.08,2023040617
中兴通讯,4,33.77,48.0,27.72,2023040617
中国中铁,4,7.87,36.7,39.05,2023040617
歌尔股份,4,23.49,66.8,38.83,2023040617
长电科技,4,37.37,45.9,58.75,2023040617
中国电信,4,6.97,63.7,60.23,2023040617
通富微电,4,23.93,30.9,37.61,2023040617
工业富联,4,19.0,47.6,103.21,2023040617
寒武纪-U,3,215.7,35.2,279.89,2023040614
润和软件,2,30.54,57.7,55.42,2023040514
海康威视,2,44.91,49.0,30.97,2023040514
海光信息,2,85.88,31.3,104.38,2023040514
晶瑞电材,2,25.01,22.9,70.72,2023040617
深桑达Ａ,2,39.28,23.6,61.05,2023040617
比亚迪,2,250.47,20.4,-3.33,2023040617
深科技,2,20.7,58.6,84.49,2023040617
浪潮信息,2,39.0,74.2,70.38,2023040617
TCL中环,2,49.28,24.6,33.88,2023040617
温氏股份,2,21.9,25.2,13.3,2023040514
紫金矿业,2,13.13,38.0,27.48,2023040617
鸿博股份,2,16.4,25.0,136.31,2023040514
韦尔股份,2,101.1,37.7,29.8,2023040617
阳光电源,2,101.12,23.3,-9.92,2023040617
聚飞光电,2,6.24,17.8,54.46,2023040617
美亚柏科,2,26.69,31.5,96.97,2023040514
绿盟科技,2,18.17,20.7,56.37,2023040617
紫光股份,2,34.43,47.9,69.02,2023040514
牧原股份,2,50.66,31.4,6.79,2023040514
紫光国微,2,121.22,75.8,-9.89,2023040617
立讯精密,2,31.33,26.0,10.43,2023040617
立昂微,2,59.48,25.4,39.66,2023040617
科士达,2,47.0,19.1,-21.91,2023040617
神州泰岳,2,10.66,24.3,136.36,2023040514
晶方科技,2,27.19,24.5,42.8,2023040617
晶晨股份,2,94.69,20.7,31.17,2023040617
太极股份,2,45.28,18.5,44.3,2023040617
易华录,2,46.5,49.4,89.87,2023040514
中国软件,2,69.41,18.4,10.17,2023040617
亨通光电,2,16.64,33.4,4.46,2023040617
五 粮 液,2,196.15,27.7,10.07,2023040514
中科曙光,2,40.68,43.2,77.18,2023040617
中科创达,2,119.32,33.1,15.65,2023040514
中天科技,2,18.0,35.7,11.18,2023040617
中国铁建,2,10.09,33.6,27.88,2023040514
中国联通,2,5.7,42.2,15.62,2023040514
人民网,2,22.7,36.7,22.31,2023040514
中国建筑,2,6.16,34.5,12.2,2023040514
中国卫通,2,22.92,28.7,94.24,2023040514
中国交建,2,11.65,23.2,40.7,2023040514
中国中免,2,176.96,25.5,-17.74,2023040617
三六零,2,20.08,110.1,197.92,2023040514
三七互娱,2,31.66,25.6,70.86,2023040514
昆仑万维,2,52.88,61.5,259.24,2023040617
京东方Ａ,2,4.49,17.9,27.92,2023040617
以岭药业,2,31.61,27.9,7.85,2023040617
光环新网,2,14.62,23.6,62.63,2023040617
拓尔思,2,33.6,42.1,160.47,2023040514
巨人网络,2,15.4,27.0,89.42,2023040514
山东黄金,2,24.87,20.6,27.02,2023040617
完美世界,2,19.14,33.4,48.14,2023040514
万达信息,2,14.18,17.9,64.69,2023040617
太极实业,2,7.98,19.9,52.0,2023040617
大华股份,2,25.67,34.2,121.87,2023040514
国科微,2,115.01,20.6,29.69,2023040617
卓胜微,2,135.99,19.1,21.35,2023040617
华泰证券,2,13.72,29.2,15.39,2023040514
剑桥科技,2,45.5,29.4,286.25,2023040514
光迅科技,2,28.51,18.1,75.02,2023040617
鹏鼎控股,2,31.99,19.1,21.17,2023040617
胜宏科技,1,21.91,25.1,65.11,2023040614
金山办公,1,477.09,43.1,69.43,2023040614
隆基绿能,1,40.29,17.7,-0.89,2023040617
创维数字,1,19.6,17.7,35.17,2023040617
