stock,inter,topic
中国卫通[22.88/1.96%],中国卫星(29.46/-0.67%)[3],6G[2];卫星[2];需要[2]
华泰证券[13.72/4.33%],,GPT[2];关注[2]
蓝色光标[9.2/-8.09%],昆仑万维(49.5/-2.27%)[3];中文在线(22.15/-6.54%)[3];易点天下(31.57/-5.9%)[3];汤姆猫(8.55/-0.81%)[2];三六零(20.08/4.58%)[2],AI[4];微软[4];模型[3];关注[3];召开[2]
光环新网[14.1/-2.35%],奥飞数据(15.52/-1.34%)[4];首都在线(18.76/2.12%)[2];铜牛信息(47.3/2.6%)[2],AI[4];算力[3];IDC[3];产业链[3];计算[3]
剑桥科技[45.5/10.01%],三六零(20.08/4.58%)[5];新易盛(61.7/6.01%)[2];源杰科技(207.5/17.9%)[2];仕佳光子(15.75/0.57%)[2];美亚柏科(26.57/13.06%)[2],模块[6];人工智能[4];概念[3];关注[2];AI[2]
同花顺[226.97/-3.42%],三六零(20.08/4.58%)[4];石基信息(26.24/-3.92%)[2];恒生电子(57.21/-0.63%)[2];指南针(60.41/0.68%)[2],AI[8];未来[2];方向[2];金融[2];04[2]
中油资本[7.77/7.17%],易点天下(31.57/-5.9%)[2];鹏都农牧(2.87/-1.03%)[2];中工国际(11.4/5.17%)[2];荣盛石化(14.47/-3.02%)[2],跨境[4];支付[4];美元[3];巴西[3];结算[2]
中际旭创[67.1/-0.21%],新易盛(61.7/6.01%)[7];剑桥科技(45.5/10.01%)[4];源杰科技(207.5/17.9%)[2];仕佳光子(15.75/0.57%)[2];亿嘉和(39.17/-3.43%)[2],模块[7];AI[4];逻辑[4];800G[4];科技[4]
生 意 宝[23.3/-4.74%],三六零(20.08/4.58%)[2];中国科传(19.1/-2.45%)[2],股票[3];数据[3];几个[2];03[2];生意[2]
格力电器[37.03/-0.62%],,
兆易创新[130.56/-0.74%],北京君正(110.24/9.91%)[9];三六零(20.08/4.58%)[3];剑桥科技(45.5/10.01%)[2];江波龙(103.89/-2.54%)[2];深科技(18.82/2.34%)[2],半导体[5];存储芯片[5];行业[3];周期[3];迎来[3]
四维图新[14.98/2.67%],中科创达(119.12/8.44%)[4];亚太股份(7.86/-2.36%)[3];剑桥科技(45.5/10.01%)[2];华工科技(30.75/10.02%)[2];美亚柏科(26.57/13.06%)[2],自动[4];驾驶[4];模型[4];AI[3];错过[2]
三七互娱[31.66/2.56%],完美世界(19.14/2.9%)[6];世纪华通(6.5/0.78%)[4];金山办公(486.51/-4.96%)[2];四维图新(14.98/2.67%)[2];吉比特(535.88/2.27%)[2],AI[5];游戏[3];中国[3];腾讯[2];模型[2]
中国电信[6.97/6.9%],三六零(20.08/4.58%)[3];剑桥科技(45.5/10.01%)[2];昆仑万维(49.5/-2.27%)[2];汤姆猫(8.55/-0.81%)[2];中国移动(97.19/4.82%)[2],运营商[5];算力[3];通信[3];网格[3];人工智能[2]
神州数码[31.6/-3.33%],拓维信息(15.67/-6.62%)[7];四川长虹(5.04/-0.4%)[5];润和软件(30.53/0.73%)[2];东方国信(14.42/-6.49%)[2];海光信息(85.88/1.27%)[2],华为[5];盘古[5];模型[5];生态[3];机会[3]
