,code,stock,concept,cause,thing,url,explain,title,dt,Unnamed: 0
0,sz002031,巨轮智能,公告,与藦卡机器人签订战略合作协议+RV减速器+机器人,,42bhhzesar,"1、2023年6月28日盘后公告，公司“藦卡机器人”签订了战略合作协议。合作内容包括公司在市场同等条件下，以最优惠价格、优先向藦卡机器人提供RV减速器及其零部件；藦卡机器人计划向公司分批次采购约5万套RV减速器，首批采购数量约3000套等。,2、公司机器人产品：广泛应用于农业\u002F工业机械装备、汽车制造、电子信息、电器制造、民用爆破等行业，加上自主开发的单元控制系统，可代替特定工序人工，实现7天*24小时的无人化作业。,3、高精度RV减速器：2023年5月30日公告纪要，公司表示在机器人核心部件的高精度RV减速器技术取得了重大突破，打破了国外制造技术的垄断，目前已进入新的产业化阶段。公司送检的机器人用精密行星摆线减速器被颁发了6000小时额度寿命试验，填补了国产机器人RV减速器完成耐久性测试并获得CR认证的空白。,4、公司主要业务为轮胎专用制造设备的研产销，主要产品为轮胎模具等。",06月29日巨轮智能股票异动解析,2023-06-29,
1,sh600835,上海机电,机器人,精密减速器+机器人+电梯+专用设备,"2023年6月28日消息，《北京市机器人产业创新发展行动方案（2023—2025年）》印发。
2023年6月29日，本届世界人工智能大会期间，多款机器人将共同亮相。",7cbbrqh34u,"1、公司控股股东上海电气集团和发那科联合投资设立上海发那科机器人，主要从事机器人系统集成业务，公司正在积极与合作伙伴日本纳博特斯克开展工业机器人核心部件-精密减速器业务的合作，相关产品在国内市场90%以上应用于工业机器人关节。,2、老旧小区改造、地铁等基础设施投资发力、旧梯更新改造需求释放等积极因素下，叠加服务型战略转型，公司积极探索并推出“一站式加装电梯服务”。,3、公司是一家机电装备制造企业，主营业务为电梯、印刷包装机械等机电一体化设备的制造以及相关产业投资。",06月29日上海机电股票异动解析,2023-06-29,
2,sh688629,C华丰,机器人,连接器+机器人+次新股,"2023年6月28日消息，《北京市机器人产业创新发展行动方案（2023—2025年）》印发。
2023年6月29日，本届世界人工智能大会期间，多款机器人将共同亮相。",7cbbrqgmmr,"1、据招股说明书：公司研发项目包括完成15Kg足式机器人原型开发及功能验证，为后续定型足式机器人整机产品开发奠定技术基础。公司是国内连接器市场核心供应商，在防务、通讯领域市场处于国内厂商领先位置，核心技术打破国外封锁，下游客户资源稳固。,2、公司自研5G数据中心用高速背板连接器打破国外垄断，56Gbps产品进入华为供应链并成为国内两大主供之一，112Gbps产品有望追赶国际龙头。,3、防务领域，航天服上的连接器为公司独家研制生产。公司开发的FMC系列高速数据连接器等产品技术指标达到国际先进水平，FMC、JVNX等系列连接器实现了国产化替代。,4、2023年1-6月预计实现营收4.6亿元至5.1亿元，同比变动-5.12%至-5.19%；归扣非净利润0.34亿元至0.38亿元，同比下降17.59%至6.52%。,5、实控人为绵阳市国资委。",06月29日C华丰股票异动解析,2023-06-29,
3,sz002765,蓝黛科技,机器人,减速器齿轴+精密传动齿轮,"2023年6月28日消息，《北京市机器人产业创新发展行动方案（2023—2025年）》印发。
2023年6月29日，本届世界人工智能大会期间，多款机器人将共同亮相。",flaxb21p17,"1、公司主要以减速器齿轴类核心零部件作为主要市场拓展方向，设立自动化子公司将以机器人集成和机器人关节减速机为主要产品业务。2023年4月11日公告，子公司蓝黛机械成为合众新能源170KW三合一电驱减速器的齿轴零部件及差速器总成定点供应商。,2、2022年10月14日公告，公司定增获批，拟募资不超过5.86亿元用于新能源汽车高精密传动齿轮及电机轴制造项目、车载、工控触控屏盖板玻璃扩产项目。,3、公司与马鞍山经开管委会拟投建蓝黛科技新能源汽车高精密传动齿轮生产制造项目相关事宜达成合作。预计项目一期建成达产后，可实现年销售收入约10亿元，年财政贡献5000万元以上。,4、公司规划NEV产能150万套，23年底300万套，NEV齿轮和轴成背后客户包括吉利、比亚迪等。公司通过华阳电子批量供货仪表显示屏，最终搭载问界M5。子公司台冠科技主营车载触摸屏业务，已成为亚马逊、京东方等企业的供应商。",06月29日蓝黛科技股票异动解析,2023-06-29,
4,sz300503,昊志机电,机器人,谐波减速器+RV减速器+端数控机床,"2023年6月28日消息，《北京市机器人产业创新发展行动方案（2023—2025年）》印发。
2023年6月29日，本届世界人工智能大会期间，多款机器人将共同亮相。",dyb076jjzq,"1、2023年6月1日互动易回复，公司自主研发的“高性能谐波减速器”、“高精度编码器”、“一体化关节模组”、“六维力传感器”、“控制系统”等一系列核心功能部件技术可应于按摩机器人，公司相关产品已成功应用于美业大型连锁机构奈瑞儿的各大直营店。,2、2023年5月8日互动易回复，rv减速器已开发出来，但是在性能方面没有太突出的表现。公司与客户共同开发的按摩机器人，已成功应用于美业专业连锁机构。公司电主轴在国内市场占有率约40%；Infranor集团的收购对公司研发具有积极意义。,3、公司专业从事中高端数控机床、机器人等高端装备核心功能部件的研发设计、生产制造、销售与维修服务的国家高新技术企业，产品涵盖高端主轴、数控转台、直线电机、数控系统等。",06月29日昊志机电股票异动解析,2023-06-29,
5,sz002866,传艺科技,新能源汽车,钠电池+储能+消费电子,"汽车工业协会数据显示，2023 年 1-5 月，汽车企业出口
量达到了 175.8 万辆，同比增长 81.5%，5 月份出口量达到 38.9
万辆，环比增长 3.4%，同比增长 58.7%。",dy9c12jw73,1、公司钠离子电池生产线2022年10月中试线投产.2023年3月一期4.5GWh投产,06月28日传艺科技股票异动解析,2023-06-28,
6,sz301183,东田微,人工智能,光模块上游+滤波片+AR\u002FVR+精密光电薄膜元件,华为开发者大会2023将于7月7日举办，目前华为已经公布了此次会议的主题演讲议程，AI占据了不少内容，尤其是华为云盘古大模型将迎来重大升级。,909lpfxern,"1、公司产品是属于光模块的上游。DW­DM100G滤波片唯一量产供应商(中际旭创供货商)，公司在光通信领域持续投入，包括TO管帽、非球管帽、CWDM\u002FDWDM滤光片在内的产品持续推出，成为新的业务增长点。,2、每一个800G光模块，需要8片100G滤波片，公司是A股上市公司中唯一实现全系100G滤波片、非球管帽取得前十大客广认证并供货的公司。,3、公司生物识别产品可用于AR、VR领域，但占比低，且主要用于手机领域。,4、公司主营精密光电薄膜元件研发、生产和销售，主要产品为摄像头滤光片和光通信元件等，可广泛应用于消费类电子产品、车载摄像头、安防监控设备以及光通信信号传输、数据中心等多个应用终端领域中。,5、公司是国内主要的智能手机摄像头滤光片供应商之一，与OPPO等合作。",06月28日东田微股票异动解析,2023-06-28,
7,sh600776,东方通信,其他,5G新通话+国资,,7c9pklj8jn,"1、2023年6月27日，在“5G创新引领，数智融合共赢”技术创新论坛上，中国移动计划建设部副总经理边燕南表示，5G新通话战略产品将在今年实现全网规模商用。公司表示注重在新领域的重点研发投入，截至公司最新年报披露日，公司5G新通话已顺利通过外场测试。,2、公司股价曾在2019年走出10倍涨幅。公司作为国内移动通信技术服务的专业提供商，已连续多年被评为华为全球金牌供应商。,3、公司主要业务为以无线通信为基础的企业网和信息安全业务、以金融电子为基础的智能自助设备业务和以通信技术服务为基础的信息通信技术服务业务。,4、公司控股股东为中电科东方通信集团，实控人是国务院国资委。",06月28日东方通信股票异动解析,2023-06-28,
8,sz000723,美锦能源,氢能,氢能源全产业链+商品焦+炼焦煤,甘肃4GW光伏离网制氢项目启动招标，单体制氢规模创国内新高，招标规模超预期，氢能板块进入明确投资窗口期。此外，内蒙古第二批风光氢储项目启动，下半年有望开启第三/四批项目建设.,fl7m1ruwej,"1、公司已完成氢能较为完整的产业链布局，上游搭建氢气“制-储-运-加-用”产业链；中游搭建从碳纸-膜电极-燃料电池电堆及系统-整车制造的核心装备产业链；下游全力推进七大区域发展战略，即粤港澳大湾区、长三角、京津冀、环渤海、能源金三角、中部地区、云贵川。,2、公司氢能业务的主要产品为氢燃料电池商用车，公司拥有两个整车生产企业，飞驰科技和青岛美锦。,3、公司主要从事煤炭、焦化、天然气、化产品、氢燃料电池汽车为主的新能源汽车等商品的生产销售，拥有储量丰富的煤炭和煤层气资源，具备“煤-焦-气-化-氢”一体化的完整产业链，是全国最大的独立商品焦和炼焦煤生产商之一。,4、公司目前拥有四大煤矿，经核准产能630万吨\u002F年，焦化生产能力715万吨\u002F年。",06月27日美锦能源股票异动解析,2023-06-27,
9,sz002792,通宇通讯,人工智能,CPO+储能PCS+5G,"OpenAI下调模型价格。
券商研报称寻找中国的Glean，企业知识库管理是大模型B端落地明。",dy7pxw538u,"1、2023年6月26日互动易回复，深圳光为现已量产产品主要为光模块，暂未有硅光模块产品投产。400G光模块已实现小规模量产，未来深圳光为将继续加大800G光模块的研发。,2、23年4月公司投资新设中通绿能(宁夏)，经营范围包含：碳减排、碳转化；集成电路芯片设计及服务；储能技术服务等。,3、公司与兴中能源携手开展分布式光伏项目，同时在通讯机房光伏节能和站点储能已有相关布局。储能pcs产品已进入小批量销售阶段。,4、公司专业从事通信天线及射频器件产品的研发、生产及销售，通过收购和增资控股深圳光为进入光通信领域，目前5G陶瓷滤波器已有小批量产出。23年4月公司中标宽带终端（12型、13型）研制项目，助力智慧互联。",06月27日通宇通讯股票异动解析,2023-06-27,
