名称,成交额,60日涨跌幅,最新价,涨跌幅,换手率,量比,成交量,振幅,市盈率-动态,年初至今涨跌幅,涨速,5分钟涨跌
中航电测,7.9,367.49,49.46,0.53,2.72,0.73,160623,2.46,151.5,382.07,0,-0.12
四川黄金,7.5,355.43,32.29,10.02,39.65,1.15,237917,7.33,68.26,355.43,0,0.0
茂莱光学,5.0,258.28,249.79,5.93,16.94,1.13,20427,16.34,223.48,258.28,1,0.0
寒武纪-U,26.7,249.9,195.0,3.72,5.71,0.84,138348,7.35,-67.0,257.4,1,-0.38
新易盛,52.4,194.49,72.68,8.7,16.97,1.11,744492,8.79,36.25,206.02,0,0.33
上海电影,8.7,189.99,29.84,0.47,6.7,1.39,300121,13.13,-62.11,172.01,1,0.0
中文在线,41.9,167.95,25.83,1.49,24.45,0.89,1589461,9.31,-114.86,160.38,0,0.04
神州泰岳,27.3,157.4,11.66,2.64,13.51,0.82,2384978,12.15,41.72,168.66,0,0.0
博汇科技,5.4,152.56,54.3,2.22,25.11,1.54,100062,14.46,-299.95,162.07,1,0.18
久远银海,11.5,145.37,38.13,1.68,7.52,0.76,299748,6.4,84.52,154.2,0,-0.03
金海通,5.8,140.71,141.01,10.0,27.93,1.31,41896,5.56,54.96,140.71,1,0.0
中际旭创,31.3,136.61,66.51,2.75,6.33,0.87,473816,5.35,43.1,146.06,0,0.06
果麦文化,5.5,122.87,50.57,0.48,20.37,0.87,112222,12.86,90.13,127.18,0,-0.45
天孚通信,9.7,122.03,58.15,0.66,4.69,0.83,167619,4.5,57.45,129.39,0,-0.22
中国科传,14.0,113.94,27.32,9.98,6.79,1.5,536966,13.24,57.76,152.73,1,0.0
大华股份,24.5,113.78,24.52,-0.04,5.15,0.78,1008318,5.99,36.13,116.8,0,-0.16
富春股份,9.2,113.31,10.9,-0.37,13.37,0.68,865552,10.97,232.03,115.84,0,1.11
美亚柏科,27.0,109.38,27.68,1.8,13.36,0.84,967741,6.44,160.89,115.24,0,0.11
芯原股份,14.7,108.64,95.39,2.19,7.6,1.18,158172,7.28,644.26,116.45,1,-0.12
返利科技,6.5,104.76,14.62,5.26,16.46,1.3,458925,9.86,167.83,104.19,1,-0.07
冰川网络,9.0,102.96,56.18,-2.18,15.3,1.12,162795,15.64,65.63,126.62,0,1.23
信达证券,7.0,102.55,16.71,2.89,13.03,0.8,422611,3.45,44.15,102.55,1,0.06
甬矽电子,7.0,101.47,46.5,8.14,35.37,1.49,161222,15.49,132.61,113.4,1,0.0
精测电子,20.5,98.04,108.98,15.84,9.54,1.5,197469,19.98,158.26,117.09,0,1.38
湖南裕能,10.2,97.1,46.85,6.4,17.72,1.75,220783,8.63,11.8,97.1,0,0.0
景嘉微,28.5,96.23,105.75,-2.08,8.52,0.87,270470,7.83,208.51,93.79,0,-0.02
工业富联,20.9,93.88,18.07,2.32,0.59,0.69,1164476,5.49,17.88,96.84,1,0.06
福晶科技,23.5,92.04,31.38,7.87,18.24,1.2,776479,14.85,61.44,98.36,0,-0.06
中微公司,52.5,90.93,189.5,13.65,4.74,1.5,292528,13.85,99.96,93.35,1,0.15
拓维信息,16.9,89.97,13.45,-1.82,11.36,0.72,1267960,6.5,123.17,102.87,0,0.07
百纳千成,7.2,89.72,8.67,0.35,10.17,0.94,825960,10.19,-579.9,81.38,0,0.23
海光信息,19.6,89.24,77.04,1.08,12.13,0.81,256924,7.02,223.27,92.02,1,-0.1
山大地纬,5.3,89.11,19.8,2.86,9.7,0.9,273216,9.09,127.93,102.25,1,0.05
太辰光,6.3,88.0,28.99,4.77,11.4,0.99,220972,9.94,37.03,100.48,0,0.0
北方国际,9.0,87.53,15.79,3.88,6.36,1.64,575930,9.47,23.79,91.39,0,-0.06
曲江文旅,15.8,85.55,20.93,9.98,29.93,2.53,760284,8.41,-40.01,56.9,1,0.0
恒烁股份,6.6,85.43,71.5,1.13,50.19,1.27,94502,14.53,276.11,88.11,1,-0.58
中科曙光,40.4,83.52,41.53,4.98,6.84,0.9,992532,10.11,40.14,87.58,1,-0.02
漫步者,15.0,83.3,17.34,3.34,18.22,1.13,896156,12.04,62.53,95.27,0,-0.12
同花顺,28.7,82.65,195.8,3.63,5.47,0.81,148463,7.77,62.24,103.72,0,0.01
同方股份,13.6,82.19,7.98,-1.97,5.74,0.64,1702571,6.63,-24.35,85.15,1,0.13
世纪天鸿,9.7,81.55,10.53,10.49,29.27,2.75,934827,19.2,106.52,78.17,0,0.29
电魂网络,6.9,80.88,40.3,6.02,7.26,1.11,177822,10.31,49.26,84.27,1,0.5
科德教育,5.6,79.85,12.14,3.76,22.17,0.92,477987,16.41,56.5,69.55,0,-0.65
上海钢联,5.9,78.94,51.5,-0.58,4.47,0.64,115345,6.68,67.99,85.85,0,0.98
