名称,成交额,60日涨跌幅,最新价,涨跌幅,换手率,量比,成交量,振幅,市盈率-动态,年初至今涨跌幅,涨速,5分钟涨跌
中芯国际,76.3,52.52,62.26,7.34,6.44,1.29,1260910,8.48,40.65,51.34,1,0.1
天齐锂业,62.0,-4.54,81.39,5.82,5.2,2.73,766365,7.13,5.54,3.04,0,0.0
中微公司,52.5,90.93,189.5,13.65,4.74,1.5,292528,13.85,99.96,93.35,1,0.15
新易盛,52.4,194.49,72.68,8.7,16.97,1.11,744492,8.79,36.25,206.02,0,0.33
闻泰科技,51.2,20.15,66.2,3.24,6.46,1.15,802806,8.09,31.75,25.9,1,0.2
北方华创,50.7,39.45,314.61,10.0,3.14,1.44,165535,5.63,70.71,39.64,0,0.0
兆易创新,48.4,27.35,135.41,5.53,5.5,1.12,365090,7.98,32.38,32.15,1,-0.01
中文在线,41.9,167.95,25.83,1.49,24.45,0.89,1589461,9.31,-114.86,160.38,0,0.04
赣锋锂业,41.5,-5.67,68.98,5.81,5.0,3.18,603845,8.22,6.79,-0.76,0,0.0
东方财富,40.5,2.32,21.59,0.09,1.7,0.65,1880560,2.13,33.53,11.29,0,-0.05
中科曙光,40.4,83.52,41.53,4.98,6.84,0.9,992532,10.11,40.14,87.58,1,-0.02
紫光国微,37.4,-3.66,115.95,2.64,3.84,0.86,325944,3.86,37.43,-12.04,0,-0.02
深科技,35.3,72.91,19.4,2.11,12.09,0.96,1885302,10.47,39.46,81.48,0,0.05
中国中铁,34.6,53.2,8.38,5.81,2.06,1.49,4199891,8.71,6.63,50.72,1,0.0
华友钴业,33.9,-11.87,55.75,3.43,3.82,2.64,604258,5.6,22.23,0.22,1,-0.07
中国能建,33.6,17.47,2.69,3.46,8.81,3.06,12526438,5.38,14.36,17.47,1,-0.37
阳光电源,32.4,-15.24,102.04,2.0,2.8,1.32,316378,5.49,55.16,-8.73,0,-0.01
中油资本,31.8,42.63,8.03,3.88,3.16,1.39,3999826,7.89,20.64,44.17,0,0.0
中际旭创,31.3,136.61,66.51,2.75,6.33,0.87,473816,5.35,43.1,146.06,0,0.06
紫金矿业,29.2,22.07,13.94,4.03,1.03,1.28,2105780,2.24,18.31,39.4,1,0.07
韦尔股份,28.9,26.83,106.22,3.03,2.37,0.85,279772,6.76,127.05,37.79,1,0.01
同花顺,28.7,82.65,195.8,3.63,5.47,0.81,148463,7.77,62.24,103.72,0,0.01
中兴通讯,28.5,29.32,34.4,-0.49,2.09,0.45,831417,3.12,20.16,33.02,0,-0.06
长电科技,28.4,37.44,36.12,3.5,4.51,1.09,801943,7.36,19.89,56.7,1,-0.03
中国电信,27.8,56.59,6.89,1.32,2.07,0.78,4048392,4.26,22.85,64.44,1,0.15
金山办公,27.4,54.35,418.0,2.05,1.42,0.79,65549,4.07,172.53,58.04,1,0.0
神州泰岳,27.3,157.4,11.66,2.64,13.51,0.82,2384978,12.15,41.72,168.66,0,0.0
亿纬锂能,27.0,-18.8,68.9,4.24,2.12,1.61,391047,6.78,40.16,-21.62,0,-0.06
寒武纪-U,26.7,249.9,195.0,3.72,5.71,0.84,138348,7.35,-69.31,257.4,1,-0.38
完美世界,26.2,48.56,20.16,1.61,7.17,1.12,1309565,8.11,28.4,58.49,0,0.0
比亚迪,25.9,-11.27,246.06,1.33,0.91,1.18,105506,1.84,43.09,-4.25,0,0.01
隆基绿能,25.9,-9.52,39.26,-0.3,0.87,1.07,659555,3.25,20.14,-7.1,1,-0.28
中国软件,25.3,12.51,68.97,3.02,5.68,1.46,365224,6.93,-87.44,18.24,1,0.0
数字政通,24.5,56.46,29.43,9.2,21.04,1.44,873591,17.92,62.96,67.88,0,0.03
立昂微,24.5,35.71,59.36,8.56,8.47,1.78,425646,11.1,46.98,39.34,1,0.0
永兴材料,24.2,-12.65,91.55,10.0,9.04,4.12,268787,8.93,6.01,-0.67,0,0.0
招商银行,23.9,-11.93,34.39,1.12,0.34,1.38,693923,2.26,6.28,-7.7,1,0.0
福晶科技,23.5,92.04,31.38,7.87,18.24,1.2,776479,14.85,61.44,98.36,0,-0.06
TCL中环,23.4,13.34,45.88,-1.52,1.59,1.29,514408,3.54,21.76,21.83,0,-0.09
华工科技,23.1,77.0,30.71,0.07,7.58,0.82,761862,6.13,34.08,87.14,0,0.03
澜起科技,22.8,16.96,74.19,3.55,2.78,1.11,316321,6.84,64.87,18.51,1,-0.28
中矿资源,22.0,-3.83,75.88,7.78,6.78,2.07,294552,9.79,14.12,13.83,0,0.01
长安汽车,22.0,-8.99,11.95,3.02,2.4,2.62,1834988,4.31,12.89,-2.92,0,0.0
晶方科技,22.0,49.19,28.6,10.0,12.4,1.25,808806,12.88,63.45,54.18,1,0.0
中国建筑,21.7,20.41,6.49,1.56,0.81,1.23,3353659,2.97,4.69,19.52,1,0.15
中国联通,21.7,13.5,5.8,0.87,1.21,0.81,3735917,3.83,25.27,29.46,1,0.0
德方纳米,21.3,-11.66,218.7,7.54,6.41,1.42,99108,10.41,15.97,-4.74,0,0.0
中国铁建,20.9,36.53,10.39,2.87,1.76,1.68,2029373,4.85,5.3,34.41,1,-0.29
工业富联,20.9,93.88,18.07,2.32,0.59,0.69,1164476,5.49,17.88,96.84,1,0.06
精测电子,20.5,98.04,108.98,15.84,9.54,1.5,197469,19.98,158.26,117.09,0,1.38
士兰微,20.2,19.68,39.46,3.79,3.69,0.9,521959,5.73,53.1,20.34,1,0.0
晶瑞电材,20.1,67.13,25.02,9.98,15.03,1.79,832382,11.43,100.64,70.44,0,0.12
世纪华通,20.0,74.34,6.59,-0.15,4.46,0.8,3067369,8.33,53.39,72.97,0,0.0
中国平安,19.5,-10.65,45.49,0.82,0.4,0.88,428919,1.71,9.93,-3.21,1,0.0
天华新能,19.3,-12.36,53.33,9.87,8.84,3.77,366456,13.35,5.19,-4.56,0,-0.02
天下秀,19.0,27.34,9.27,3.46,11.07,2.5,2001351,7.37,61.61,37.54,1,0.0
通富微电,18.5,29.43,22.56,3.49,6.31,1.06,838159,6.24,68.0,36.89,0,0.0
易华录,18.5,71.82,41.77,0.29,6.95,0.66,445110,6.87,-1630.28,104.65,0,0.05
电科网安,18.0,32.21,41.05,1.28,5.31,0.95,447124,6.51,113.97,34.46,0,0.02
梦网科技,18.0,32.48,16.52,9.99,16.47,3.45,1100926,8.12,-18.61,47.11,0,0.0
江丰电子,17.3,19.56,87.27,7.15,10.47,1.53,203531,10.08,87.42,26.11,0,-0.01
派能科技,17.3,-17.34,260.1,1.8,7.98,1.38,66845,7.66,35.89,-17.6,1,0.0
长川科技,17.2,49.86,59.27,4.7,6.51,1.11,293866,10.3,83.03,32.95,0,0.25
长城汽车,16.7,-7.49,27.68,7.04,0.99,3.54,604114,7.42,28.42,-6.55,1,-0.04
