名称,股价,涨幅,30分中轨,偏离中轨,成交额,预估成交,对比昨日,五日均额,对比五均额,MA5,对比MA5,MA10,对比MA10,5日峰价,对比最高,说明,十日均额,对比十均额,近60日涨幅,近20日涨幅,箱顶,btop,箱底,bbo,备注
新易盛,66.6,9.9%,59.18,12.54%,41.0,72.9,57.79%,40.9,78.24%,62.01,7.4%,67.12,-0.77%,71.09,-6.32%,突破30分中轨,46.4,57.11%,37.32%,-18.58%,78.3,-14.94,57.0,+16.84,
浪潮信息,47.64,-0.83%,48.35,-1.47%,40.9,72.7,-33.91%,61.6,18.02%,51.93,-8.26%,55.68,-14.44%,60.6,-21.39%,跌破30分中轨，破10日线，应该清仓,69.9,4.01%,35.73%,5.19%,65.0,-26.71,48.04,-0.83,",缩量考虑减仓"
中际旭创,147.91,-0.07%,145.23,1.85%,38.7,68.8,1.47%,64.2,7.17%,146.62,0.88%,151.28,-2.23%,158.0,-6.39%,下跌行情，最高点下来超过5%，该减仓,67.4,2.08%,151.12%,36.9%,170.0,-12.99,134.79,+9.73,
隆基绿能,28.91,0.21%,29.09,-0.62%,25.1,44.6,-8.98%,39.0,14.36%,28.65,0.91%,28.78,0.45%,29.88,-3.25%,跌破30分中轨，该减仓,42.6,4.69%,-28.46%,0.98%,28.85,+0.21,29.18,-0.93,
工业富联,23.98,0.76%,23.49,2.09%,24.4,43.4,7.96%,34.3,26.53%,23.37,2.61%,24.05,-0.29%,24.78,-3.23%,突破30分中轨,40.0,8.5%,39.26%,33.82%,26.46,-9.37,22.98,+4.35,
拓维信息,18.98,-1.61%,19.69,-3.61%,23.6,42.0,-12.13%,50.5,-16.83%,19.35,-1.91%,19.45,-2.42%,21.35,-11.1%,跌破30分中轨，破10日线，应该清仓,55.4,-24.19%,22.29%,30.27%,20.3,-6.5,18.83,+0.8,
昆仑万维,40.28,-0.54%,40.6,-0.79%,22.6,40.2,21.08%,42.8,-6.07%,41.72,-3.45%,50.21,-19.78%,48.39,-16.76%,跌破30分中轨，破10日线，应该清仓,67.3,-40.27%,-13.89%,-29.83%,62.93,-35.99,40.28,0.0,
华西股份,13.85,6.46%,13.41,3.28%,22.3,39.6,16.81%,28.0,41.43%,13.59,1.91%,12.93,7.12%,15.08,-8.16%,突破30分中轨,22.8,73.68%,77.34%,96.45%,13.01,+6.46,10.41,+33.05,
紫光国微,93.96,5.08%,90.25,4.11%,22.0,39.1,246.02%,13.5,189.63%,90.02,4.38%,90.28,4.08%,95.19,-1.29%,突破30分中轨,16.7,134.13%,-15.45%,1.02%,93.76,+0.21,89.53,+4.95,
东方通信,15.26,7.24%,13.6,12.21%,21.0,37.3,89.34%,11.0,239.09%,12.98,17.57%,12.26,24.47%,15.65,-2.49%,突破30分中轨,6.8,448.53%,38.35%,36.86%,15.26,0.0,10.69,+42.75,
华工科技,36.6,4.96%,34.63,5.69%,20.5,36.4,70.09%,25.9,40.54%,35.27,3.77%,37.9,-3.43%,37.61,-2.69%,突破30分中轨,38.9,-6.43%,44.04%,8.73%,43.52,-15.9,34.36,+6.52,
东方财富,14.33,2.28%,14.08,1.78%,19.3,34.3,76.8%,21.9,56.62%,14.12,1.49%,14.39,-0.42%,14.34,-0.07%,突破30分中轨,32.5,5.54%,-28.46%,0.92%,14.74,-2.78,14.1,+1.63,
中科曙光,50.38,1.29%,48.68,3.49%,18.8,33.2,-13.77%,40.4,-17.82%,49.27,2.25%,53.15,-5.21%,54.26,-7.15%,突破30分中轨,53.8,-38.29%,31.44%,-4.38%,61.12,-17.57,47.8,+5.4,
光迅科技,35.77,2.03%,34.65,3.23%,17.9,31.6,45.62%,23.0,37.39%,35.72,0.14%,37.51,-4.64%,39.1,-8.52%,突破30分中轨,29.2,8.22%,37.58%,29.98%,44.36,-19.36,35.06,+2.03,
双环传动,35.32,-1.7%,34.69,1.82%,17.5,30.9,-27.97%,26.7,15.73%,33.84,4.37%,31.85,10.89%,37.53,-5.89%,下跌行情，最高点下来超过5%，该减仓,25.4,21.65%,33.74%,51.46%,35.93,-1.7,28.35,+24.59,",缩量考虑减仓"
中国中免,111.2,0.28%,112.83,-1.44%,17.4,30.7,-11.01%,22.8,34.65%,114.4,-2.8%,120.79,-7.94%,121.66,-8.6%,跌破30分中轨，破10日线，应该清仓,26.8,14.55%,-39.31%,-8.06%,130.16,-14.57,111.2,0.0,
沪电股份,20.53,7.83%,19.39,5.88%,16.4,28.9,207.45%,13.9,107.91%,19.62,4.64%,21.01,-2.28%,21.28,-3.52%,突破30分中轨,17.8,62.36%,-4.47%,-2.7%,22.5,-8.76,19.2,+6.93,
太辰光,55.41,10.05%,50.47,9.79%,15.3,27.0,69.81%,16.4,64.63%,52.84,4.86%,54.24,2.16%,60.13,-7.85%,突破30分中轨,19.2,40.63%,101.86%,74.52%,59.21,-6.42,48.22,+14.91,
世纪华通,7.6,2.43%,7.22,5.26%,15.2,26.8,28.23%,20.8,28.85%,7.4,2.7%,7.64,-0.52%,7.97,-4.64%,突破30分中轨,24.4,9.84%,26.25%,11.11%,8.15,-6.75,7.13,+6.59,
亿纬锂能,60.34,5.42%,58.36,3.39%,15.0,26.5,223.17%,9.5,178.95%,58.68,2.83%,59.42,1.55%,61.3,-1.57%,突破30分中轨,14.0,89.29%,-13.43%,-4.95%,60.7,-0.59,60.09,+0.42,
云赛智联,14.91,3.54%,14.31,4.19%,14.6,25.8,44.94%,14.2,81.69%,14.87,0.27%,15.36,-2.93%,16.31,-8.58%,突破30分中轨,18.9,36.51%,32.65%,51.06%,17.16,-13.11,14.26,+4.56,
天齐锂业,70.15,2.69%,71.22,-1.5%,14.5,25.6,128.57%,12.7,101.57%,71.5,-1.89%,72.87,-3.73%,72.55,-3.31%,跌破30分中轨，破10日线，应该清仓,18.2,40.66%,-7.11%,-3.01%,76.02,-7.72,70.15,0.0,
新时达,13.48,1.66%,13.18,2.28%,14.0,24.7,24.12%,20.3,21.67%,13.27,1.58%,12.05,11.87%,14.42,-6.52%,突破30分中轨,14.0,76.43%,85.16%,67.87%,13.48,0.0,9.09,+48.29,
